PRODUCT_NAME,PRICING,URL,BRAND,SCREEN_SIZE,DISPLAY_TYPE,RESOLUTION,OS
"Insignia™ - 32"" Class F20 Series LED HD Smart Fire TV",$79.99,https://www.bestbuy.com/site/insignia-32-class-f20-series-led-hd-smart-fire-tv/6482022.p?skuId=6482022,INSIGNIA™,32,LED,HD Smart,Fire
"Insignia™ - 55"" Class F30 Series LED 4K UHD Smart Fire TV",$229.99,https://www.bestbuy.com/site/insignia-55-class-f30-series-led-4k-uhd-smart-fire-tv/6450247.p?skuId=6450247,INSIGNIA™,55,LED,4K UHD,Fire
"Insignia™ - 50"" Class F30 Series LED 4K UHD Smart Fire TV",$199.99,https://www.bestbuy.com/site/insignia-50-class-f30-series-led-4k-uhd-smart-fire-tv/6525240.p?skuId=6525240,INSIGNIA™,50,LED,4K UHD,Fire
"Insignia™ - 42"" Class F20 Series LED Full HD Smart Fire TV",$129.99,https://www.bestbuy.com/site/insignia-42-class-f20-series-led-full-hd-smart-fire-tv/6495088.p?skuId=6495088,INSIGNIA™,42,LED,Full HD,Fire
"Toshiba - 65"" Class C350 Series LED 4K UHD Smart Fire TV",$329.99,https://www.bestbuy.com/site/toshiba-65-class-c350-series-led-4k-uhd-smart-fire-tv/6532123.p?skuId=6532123,TOSHIBA,65,LED,4K UHD,Fire
"Insignia™ - 43"" Class F30 Series LED 4K UHD Smart Fire TV",$169.99,https://www.bestbuy.com/site/insignia-43-class-f30-series-led-4k-uhd-smart-fire-tv/6448758.p?skuId=6448758,INSIGNIA™,43,LED,4K UHD,Fire
"Insignia™ - 24"" Class F20 Series LED HD Smart Fire TV",$64.99,https://www.bestbuy.com/site/insignia-24-class-f20-series-led-hd-smart-fire-tv/6491295.p?skuId=6491295,INSIGNIA™,24,LED,HD Smart,Fire
"Toshiba - 75"" Class C350 Series LED 4K UHD Smart Fire TV",$529.99,https://www.bestbuy.com/site/toshiba-75-class-c350-series-led-4k-uhd-smart-fire-tv/6458648.p?skuId=6458648,TOSHIBA,75,LED,4K UHD,Fire
"LG - 65"" Class UQ75 Series LED 4K UHD Smart webOS TV",$479.99,https://www.bestbuy.com/site/lg-65-class-uq75-series-led-4k-uhd-smart-webos-tv/6501938.p?skuId=6501938,LG,65,LED,4K UHD,webOS
"TCL - 65"" Class 4-Series 4K UHD HDR Smart Roku TV",$379.99,https://www.bestbuy.com/site/tcl-65-class-4-series-4k-uhd-hdr-smart-roku-tv/6500473.p?skuId=6500473,TCL,65,OLED,4K UHD,Class
"Samsung - 32"" Class N5300 Series LED Full HD Smart Tizen TV",$229.99,https://www.bestbuy.com/site/samsung-32-class-n5300-series-led-full-hd-smart-tizen-tv/6202106.p?skuId=6202106,SAMSUNG,32,LED,Full HD,Tizen
"LG - 55"" Class UQ75 Series LED 4K UHD Smart webOS TV",$379.99,https://www.bestbuy.com/site/lg-55-class-uq75-series-led-4k-uhd-smart-webos-tv/6501939.p?skuId=6501939,LG,55,LED,4K UHD,webOS
